net,length_um
_08154_,210.78
soc.imem_dout1\[0\]\[20\],210.48
_04937_,209.74
_07228_,209.49
_08271_,209.16
soc.dmem_dout0\[0\]\[24\],209
soc.bios_dout0\[0\]\[9\],208.85
net386,208.22
_08139_,208.1
_03145_,207.62
soc.bios_dout1\[0\]\[15\],207.36
_04998_,207.22
soc.imem_dout1\[0\]\[17\],206.93
soc.imem_dout1\[0\]\[28\],206.8
soc.imem_dout1\[0\]\[23\],206.5
soc.bios_dout1\[0\]\[19\],206.45
net456,206.44
_03742_,206.18
net189,205.97
net462,205.08
_05921_,204.96
_07378_,204.945
_05778_,204.62
_03152_,204.4
_05741_,204.33
soc.bdto\[23\],204.14
_03341_,203.92
net459,203.88
_03364_,203.695
_05198_,203.58
soc.dmem_dout0\[0\]\[8\],203.04
soc.bios_dout1\[1\]\[3\],201.75
soc.dmem_dout0\[0\]\[23\],201.7
soc.dmem_dout0\[0\]\[5\],201.34
soc.imem_dout1\[0\]\[22\],201.22
_05078_,200.78
soc.bios_dout0\[1\]\[10\],200.78
soc.bdto\[16\],200.69
_08263_,200.675
_03200_,200.34
_03690_,200.26
_04251_,199.98
soc.imem_dout1\[0\]\[7\],199.77
net445,199.76
_06973_,199.54
_03057_,199.39
net450,199.14
_06255_,198.86
_08233_,198.74
soc.dmem_dout0\[0\]\[17\],198.64
soc.imem_dout1\[0\]\[8\],198.61
soc.imem_dout1\[0\]\[19\],198.39
_03542_,197.84
_01966_,197.83
net442,197.82
soc.bdto\[22\],197.64
soc.dmem_dout0\[0\]\[22\],197.44
_03485_,197.28
soc.imem_dout1\[0\]\[4\],197.2
soc.imem_dout1\[0\]\[5\],197.14
soc.bios_dout1\[0\]\[18\],196.99
_04103_,196.92
soc.imem_dout1\[0\]\[3\],196.91
_03345_,196.63
soc.dmem_dout0\[0\]\[14\],196.55
_05880_,196.415
soc.bios_dout1\[0\]\[2\],196.21
soc.imem_dout1\[0\]\[2\],195.98
_04356_,195.89
soc.imem_dout1\[0\]\[9\],195.76
soc.dmem_dout0\[0\]\[31\],195.66
net453,195.16
_03178_,195.02
_08138_,194.84
soc.dmem_dout0\[0\]\[25\],194.25
_06690_,194.085
_03146_,194.01
soc.imem_dout1\[0\]\[10\],193.72
soc.dmem_dout0\[0\]\[28\],193.64
_04403_,193.61
soc.dmem_dout0\[0\]\[26\],193.45
_05935_,193.42
net187,193.01
soc.dmem_dout0\[0\]\[20\],192.81
_03645_,192.53
